station_id,fwis_code,value
1013,065WAF421,12.2
1013,065WAF421,12.6
1013,065FWF5103,13
1013,065WAF421,13
1013,065FWF5103,13.25
1013,065FWF5103,13.5
1036,064WAF7ShutCray,6.8
1036,064WAF7ShutCray,7.2
1036,064FWF7Cray,7.25
1036,064FWF7Cray,7.3
1038,064WAF7Darent,11.4
1038,064WAF7Darent,11.5
1038,064FWF7Dartford,11.65
1038,064FWF7Dartford,11.7
1024,065FWC0101,2.15
1011,065WAF424,2.9
1011,065WAF424,3
1011,065FWF5004,3.3
1011,065FWF5004,3.6
1011,065WAF424,3.3
1011,065FWF5004,3.8
1006,065WAF433,4.2
1006,065WAF433,4.45
1006,065FWF5404,4.7
1006,065WAF433,4.8
1006,065FWF5404,5.2
1006,065FWF5404,4.95
1017,065WAF424,3.1
1017,065WAF424,3.55
1017,065FWF5003,3.85
1017,065WAF424,4
1017,065FWF5003,4.15
1017,065FWF5003,4.45
1018,065FWC8303,3
1001,065WAF434,3.5
1001,065FWF5402,3.9
1001,065WAF434,3.88
1001,065FWF5402,4
1001,065FWF5402,4.2
1001,065FWF5402,4.3
1057,065WAF120,56.45
1057,065WAF120,56.49
1057,065FWF3401,56.5
1057,065FWF3401,56.75
1059,065WAF121,34.25
1059,065WAF121,34.3
1058,065WAF123,7.15
1058,065WAF123,7.3
1058,065WAF123,7.4
1058,065FWF3501,7.55
1058,065FWF3501,7.7
1060,065WAF140,7.1
1060,065WAF140,7.4
1060,065FWF3701,7.6
1060,065FWF3701,7.8
1062,065WAF140,11.2
1062,065WAF140,11.4
1062,065WAF140,11.55
1062,065FWF3701,11.6
1062,065FWF3701,11.8
1071,064WAF324,39
1071,064WAF324,39.5
1071,064FWF8A1,39.9
1071,064FWF8A1,40.25
1067,064WAF321,31.2
1067,064WAF321,31.85
1067,064FWF8A2,32.5
1067,064FWF8A2,33.2
1072,064WAF321,56.7
1072,064FWF8A2,56.7
1072,064WAF321,56.9
1072,064FWF8A2,57.3
1069,064WAF8LowMed,5.7
1044,065WAF130,5.1
1044,065FWF4201,5.3
1044,065WAF130,5.4
1044,065FWF4201,5.8
1044,065FWF4201,6.1
1040,064WAF7Darent,60.35
1040,064WAF7Darent,60.75
1040,064FWF7Otford,60.8
1040,064FWF7Otford,61.05
1046,065WAF214,1.2
1046,065WAF214,1.4
1046,065WAF214,1.6
1046,065WAF214,1.69
1046,065FWF7301,1.8
1046,065FWF7301,2
1049,065WAF122,12.7
1049,065WAF122,12.8
1049,065FWF3407,12.85
1049,065FWF3407,13
1051,065WAF123,19.9
1051,065WAF123,20.05
1051,065FWF3501,20.1
1051,065FWF3501,20.3
1051,065FWF3501,20.7
1050,065WAF120,54.95
1050,065WAF120,55.12
1050,065FWF3402,55.3
1050,065FWF3402,55.2
1052,065WAF121,35.7
1052,065WAF121,35.8
1052,065FWF3405,35.95
1052,065FWF3405,36.15
1056,065WAF124,2.7
1056,065FWF3408,2.78
1056,065FWF3408,2.82
1056,065FWF3408,2.89
1047,065WAC220,2.3
1047,065FWC8101,2.8
1086,064WAF8LowBeult,13.15
1086,064WAF8LowBeult,14.46
1086,064FWF8CollStreet,14.74
1086,064FWF8CollStreet,14.9
1073,064WAF8Bourne,22.9
1073,064FWF8EastPeck,23.4
1073,064WAF8Bourne,23.7
1073,064FWF8EastPeck,24.1
1073,064FWF8Hadlow,24.2
1073,064FWF8Hadlow,25
1085,064FWF8Beult,21.1
1085,064FWF8Beult,21.75
1080,064WAF8MidMed,24.4
1080,064WAF8MidMed,24.5
1080,064FWF8A3,27.7
1080,064FWF8A3,28.6
1083,064WAF8LowMed,4.35
1083,064FWF8Maidstne,5.85
1083,064FWF8Maidstne,6.2
1088,064WAF321,40.7
1088,064FWF8A2,42
1088,064WAF321,42
1088,064FWF8A2,42.4
1143,064FWF6Canterbury,3.7
1143,064FWF6Canterbury,4.1
1087,064WAF8LowTeise,25.8
1087,064WAF8LowTeise,26.2
1087,064FWF8Teise,26.8
1087,064FWF8CollStreet,26.9
1087,064FWF8PaddWood,27
1107,065WAF441,12.4
1107,065WAF441,12.7
1107,065FWF1004,13.1
1107,065WAF441,13.1
1107,065FWF1004,13.5
1107,065FWF1004,13.7
1106,065WAF441,21.4
1106,065WAF441,21.8
1106,065FWF1004,22.2
1106,065WAF441,22.2
1106,065FWF1004,22.6
1106,065FWF1004,23
1108,065WAF442,12.2
1108,065WAF442,12.6
1108,065WAF442,13
1108,065FWF1005,13.3
1108,065FWF1005,13.55
1108,065FWF1005,13.85
1118,065WAF440,30.2
1118,065WAF440,30.9
1118,065WAF440,31
1118,065FWF1002,31.2
1118,065FWF1002,31.5
1118,065FWF1002,31.65
1119,065WAF442,18.6
1119,065WAF442,18.9
1119,065FWF1102,19.35
1119,065WAF442,19.35
1119,065FWF1102,19.7
1119,065FWF1103,20.3
1125,064WAF352,6.2
1125,064WAF352,6.7
1125,064FWF53A,7
1125,064FWF53A,7.75
1110,065WAF441,30.6
1110,065FWF1003,30.7
1110,065WAF441,30.7
1110,065FWF1003,30.85
1110,065FWF1003,31
1129,064WAF6UpStour,47.8
1129,064FWF6EastStour,49.8
1129,064WAF6UpStour,49.95
1129,064FWF6EastStour,50.2
1130,064WAF6UpStour,37.3
1130,064WAF6UpStour,37.5
1130,064FWF6AylesStrm,38
1130,064FWF6AylesStrm,38.6
1131,064WAF6LittleStour,17.6
1131,064WAF6LittleStour,17.7
1131,064FWF6LStour,17.71
1131,064FWF6Nailbrne,17.71
1131,064FWF6LStour,17.8
1131,064FWF6Nailbrne,17.8
1133,064WAF6UpStour,38.25
1133,064WAF6UpStour,38.4
1133,064FWF6Hothfield,39.5
1133,064FWF6Hothfield,39.7
1132,064WAF6UpStour,50.2
1132,064WAF6UpStour,50.4
1132,064FWF6LenHeath,50.5
1132,064FWF6LenHeath,51.05
1134,064WAB6TidalStour,2.3
1134,064FWF6GFerry,2.35
1134,064WAB6TidalStour,2.35
1134,064FWF6GFerry,2.45
1134,064FWB6StourMarsh,2.7
1134,064FWB6StourMarsh,3
1139,064WAF6LittleStour,10.2
1139,064WAF6LittleStour,10.3
1139,064FWF6LStour,10.37
1139,064FWF6Nailbrne,10.37
1139,064FWF6LStour,10.4
1139,064FWF6Nailbrne,10.4
1135,064WAF6LowStour,12.7
1135,064WAF6LowStour,12.8
1135,064FWF6Chartham,13
1135,064FWF6Chartham,13.5
1137,064WAF6UpStour,46
1137,064WAF6UpStour,46.5
1137,064FWF6Hothfield,47.75
1137,064FWF6LenHeath,47.75
1137,064FWF6Hothfield,48.5
1137,064FWF6LenHeath,48.5
1145,064WAF6LowStour,29.6
1145,064WAF6LowStour,29.9
1145,064FWF6Wye,30.5
1145,064FWF6Wye,31
1149,065WAF115,4.2
1149,065WAF115,4.4
1149,065WAF115,4.5
1149,065FWF3301,4.7
1149,065FWF3301,4.8
1144,064WAF6UpStour,36
1144,064WAF6UpStour,36.7
1144,064FWF6WhiteRuck,36.8
1144,064FWF6WhiteRuck,37
1151,065WAF112,17.2
1151,065WAF112,17.4
1151,065WAF112,17.5
1151,065FWF3010,17.6
1151,065FWF3010,17.7
1155,065WAF411,10.3
1155,065FWF4501,10.4
1155,065FWF4501,10.5
1155,065FWF4501,10.7
1152,065WAF441,35.8
1152,065WAF441,36.25
1152,065FWF1003,36.6
1152,065FWF1001,36.6
1152,065WAF441,36.6
1152,065FWF1001,36.9
1152,065FWF1003,36.9
1152,065FWF1001,37.2
1078,064WAF8UpTeise,38.3
1078,064WAF8UpTeise,39.2
1078,064FWF8Lamberhurst,39.25
1078,064FWF8Lamberhurst,40
1156,065WAF451,18.7
1156,065WAF451,18.9
1156,065WAF451,19.1
1156,065FWF1201,19.2
1156,065FWF1201,19.5
1156,065FWF1201,19.8
1153,065WAF451,30.1
1153,065WAF451,30.2
1153,065FWF1201,30.4
1153,065WAF451,30.4
1153,065FWF1201,30.8
1153,065FWF1201,31
1109,065WAF443,3.7
1109,065WAF443,4
1109,065FWB3201,4.2
1109,065FWF1008,4.2
1109,065FWF1011,4.2
1109,065FWF1008,4.5
1109,065FWB3201,4.5
1109,065FWF1011,4.5
1109,065FWF1008,4.6
1109,065FWF1011,4.7
1109,065FWB3201,4.8
1109,065FWF1009,5.5
1109,065FWF1009,6.1
1161,065WAF104,43.91
1161,065WAF100,43.95
1161,065WAF100,44.05
1161,065WAF104,44.05
1161,065FWF3001,44.1
1161,065FWF3002,44.1
1161,065FWF3001,44.3
1161,065FWF3002,44.3
1161,065FWF3001,44.4
1161,065FWF3012,44.4
1167,065WAF453,2.1
1167,065WAF453,2.3
1167,065FWF1402,2.5
1167,065WAF453,2.5
1167,065FWF1402,2.7
1167,065FWF1402,2.9
1165,065WAF423,33.4
1165,065WAF423,33.9
1165,065WAF423,34.2
1165,065FWF5001,34.4
1165,065FWF5001,34.9
1165,065FWF5001,35.2
2002,031WAF209,1.9
2002,031FWFAV40,2.5
2002,031FWFAV70,2.5
2002,031FWFAV20,2.9
2002,031FWFAV60,3.05
2002,031FWFAV30,3.5
2002,031FWFAV50,3.5
2002,031FWFAV55,5.1
1168,065WAF423,22.65
1168,065WAF423,23.3
1168,065WAF423,23.1
1168,065FWF5002,23.5
1168,065FWF5002,23.8
1168,065FWF5002,24
1166,065WAF453,5.3
1166,065WAF453,5.6
1166,065FWF1401,5.9
1166,065WAF453,5.9
1166,065FWF1401,6.2
1166,065FWF1401,6.5
1166,065FWF1401,6.8
2004,031WAF103,4.8
2004,031FWFSE220,5.4
2004,031FWFSE200,6
2004,031FWFSE190,6.1
2001,031WAF108,2.85
2001,031WAF108,3.3
2001,031FWFSE370,3.4
2001,031FWFSE390,4
2001,031FWFSE370,4.1
2001,031FWFSE360,4.2
2001,031FWFSE400,4.2
2001,031FWFSE370,4.3
2001,031FWFSE350,4.51
2001,031FWFSE340,4.6
2001,031FWFSE370,5
2001,031FWFSE380,5.5
2001,031FWFSE360,6.25
2005,031FWFTE70,3.4
2005,031WAF113,4.5
2005,031FWFTE50,5
2005,031FWFTE60,5
2009,101WAFSP10,2.8
2009,101FWFWN260,3.5
2009,101FWFWN261,3.5
2009,101FWFWN262,3.95
2007,031WAF110,2
2008,031WAF104,1.3
2013,031WAF105,1.1
2013,031FWFRE10,2.5
2011,031WAF104,1
2012,031WAF213,2
2010,031WAF208,1.9
2014,031WAF104,0.7
2019,031WAF216,0.95
2019,031FWFFG40,1.05
2019,031FWFFG30,1.2
2016,031WAF106,0.55
2020,031WAF114,3.15
2020,031FWFVY50,4.3
2020,031FWFVY60,4.3
2022,031WAF108,3.95
2022,031FWFSE485,4.5
2022,031FWFSE505,4.6
2022,031FWFSE475,4.7
2022,031FWFSE480,4.85
2022,031FWFSE490,5
